,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
> 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8-8.9,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0
7-7.9,3.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,2.0,5.0,4.0,7.0,3.0,4.0,5.0,4.0,8.0,3.0,10.0,7.0,4.0,9.0,6.0,10.0,8.0,12.0,13.0,11.0,16.0,14.0,9.0,19.0,8.0,7.0,11.0,14.0,11.0,9.0,19.0,13.0,6.0,12.0,9.0,17.0,12.0,4.0,7.0,13.0,11.0,8.0,11.0,11.0,5.0,9.0,6.0,10.0,8.0,19.0,7.0,8.0,9.0,12.0,10.0,15.0,11.0,16.0,8.0,11.0,21.0,14.0,16.0,18.0,15.0,9.0,11.0,13.0,13.0,10.0,12.0,8.0,6.0,10.0,7.0,14.0,14.0,13.0,10.0,13.0,11.0,8.0,18.0,17.0,13.0,12.0,11.0,18.0,14.0,16.0,11.0,18.0,14.0,15.0,13.0,14.0,14.0,10.0,9.0,14.0,12.0,16.0,23.0,19.0,14.0,17.0,11.0,18.0
6-6.9,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,5.0,0.0,5.0,28.0,21.0,21.0,18.0,33.0,41.0,32.0,40.0,44.0,34.0,46.0,39.0,37.0,38.0,36.0,47.0,57.0,45.0,51.0,35.0,47.0,26.0,30.0,31.0,20.0,25.0,24.0,22.0,25.0,15.0,24.0,32.0,122.0,138.0,172.0,138.0,122.0,125.0,107.0,167.0,126.0,110.0,139.0,110.0,99.0,125.0,145.0,123.0,106.0,97.0,134.0,139.0,143.0,132.0,127.0,89.0,86.0,96.0,95.0,76.0,81.0,86.0,90.0,77.0,83.0,125.0,124.0,147.0,127.0,161.0,115.0,130.0,136.0,120.0,166.0,135.0,145.0,181.0,149.0,120.0,109.0,118.0,145.0,121.0,126.0,140.0,143.0,140.0,142.0,178.0,168.0,144.0,152.0,187.0,117.0,123.0,143.0,127.0
5-5.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,4.0,1.0,2.0,2.0,2.0,7.0,7.0,1.0,2.0,2.0,2.0,8.0,3.0,1.0,4.0,91.0,107.0,156.0,101.0,106.0,84.0,122.0,144.0,218.0,217.0,129.0,129.0,103.0,179.0,145.0,200.0,122.0,150.0,153.0,174.0,189.0,237.0,246.0,1333.0,1318.0,1451.0,1666.0,1695.0,1536.0,1372.0,1302.0,1176.0,1416.0,1664.0,1544.0,1641.0,1622.0,1394.0,1467.0,1420.0,1604.0,1447.0,1492.0,1417.0,1527.0,1300.0,1209.0,1098.0,954.0,1055.0,1335.0,1212.0,1169.0,1207.0,1512.0,1692.0,1723.0,2084.0,1784.0,1912.0,2217.0,2485.0,1547.0,1454.0,1574.0,1421.0
4-4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,91.0,23.0,29.0,16.0,12.0,22.0,23.0,48.0,24.0,43.0,17.0,13.0,16.0,28.0,29.0,20.0,11.0,31.0,16.0,175.0,25.0,67.0,24.0,155.0,44.0,26.0,26.0,18.0,31.0,36.0,42.0,36.0,40.0,31.0,28.0,38.0,43.0,27.0,65.0,17.0,2557.0,2568.0,2557.0,2534.0,2391.0,2573.0,2964.0,3236.0,3154.0,3193.0,3511.0,3612.0,4228.0,4417.0,4098.0,3964.0,4004.0,4437.0,4294.0,5104.0,4946.0,4443.0,8046.0,8708.0,7892.0,7229.0,6999.0,7969.0,7962.0,8500.0,8438.0,10885.0,13916.0,12842.0,12081.0,12298.0,6813.0,10133.0,13126.0,10960.0,11878.0,15820.0,13794.0
3-3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,264.0,140.0,240.0,128.0,136.0,118.0,115.0,161.0,136.0,163.0,120.0,133.0,72.0,204.0,210.0,142.0,261.0,162.0,118.0,215.0,268.0,286.0,141.0,143.0,160.0,130.0,151.0,95.0,142.0,162.0,176.0,134.0,143.0,131.0,147.0,322.0,268.0,172.0,445.0,154.0,585.0,591.0,674.0,761.0,579.0,897.0,1507.0,1868.0,1162.0,1329.0,1852.0,1709.0,1844.0,2178.0,2091.0,2196.0,2665.0,2568.0,3055.0,5201.0,4280.0,4929.0,5036.0,4955.0,4413.0,5998.0,5730.0,4803.0,6268.0,7095.0,7599.0,7911.0,9186.0,9994.0,9913.0,11703.0,2891.0,4367.0,2809.0,2828.0,2731.0,4039.0,4548.0
2-2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,456.0,316.0,304.0,306.0,177.0,134.0,150.0,82.0,97.0,95.0,102.0,67.0,88.0,143.0,314.0,291.0,183.0,262.0,120.0,100.0,197.0,193.0,155.0,122.0,64.0,65.0,89.0,63.0,113.0,88.0,110.0,66.0,119.0,162.0,210.0,242.0,319.0,318.0,277.0,275.0,567.0,780.0,1099.0,1608.0,2109.0,2722.0,4078.0,3853.0,2987.0,3162.0,3794.0,4481.0,4613.0,7301.0,6743.0,5696.0,5141.0,4837.0,5098.0,18969.0,9213.0,9356.0,6188.0,4819.0,5211.0,7475.0,10304.0,6378.0,6909.0,8103.0,9071.0,7668.0,6043.0,5296.0,4808.0,5694.0,4519.0,13544.0,5740.0,5444.0,11678.0,16418.0,16859.0
1-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,164.0,108.0,49.0,39.0,25.0,6.0,11.0,2.0,1.0,3.0,0.0,2.0,2.0,6.0,5.0,6.0,8.0,33.0,3.0,7.0,6.0,10.0,6.0,8.0,5.0,4.0,2.0,9.0,1.0,1.0,3.0,2.0,2.0,11.0,10.0,2.0,3.0,8.0,5.0,268.0,572.0,353.0,1272.0,807.0,2848.0,3414.0,5413.0,3186.0,7323.0,4120.0,7030.0,5833.0,6197.0,5389.0,3238.0,5183.0,2149.0,5213.0,6610.0,28071.0,16756.0,19362.0,16619.0,13510.0,10612.0,10443.0,12930.0,15781.0,13542.0,8499.0,10475.0,8294.0,7508.0,6287.0,6868.0,7524.0,8501.0,21238.0,7304.0,8250.0,35327.0,43658.0,43611.0
0-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,28.0,9.0,93.0,30.0,92.0,67.0,258.0,265.0,1152.0,616.0,2408.0,1198.0,1309.0,236.0,140.0,730.0,167.0,708.0,987.0,2724.0,1290.0,2602.0,4626.0,3047.0,1804.0,731.0,769.0,1834.0,1648.0,1860.0,4877.0,6721.0,4466.0,4041.0,5091.0,5795.0,5528.0,8199.0,5926.0,6398.0,28818.0,35293.0,32666.0
